id;description;enabled
d106d2ff-731f-4b18-8dbf-8dbb2b00fbd3;../fake-data/blob/hipster.txt;true
9e759407-2448-4024-b774-7d076329e76c;../fake-data/blob/hipster.txt;true
3ad0ef1c-e056-418c-9845-aaa6848796ef;../fake-data/blob/hipster.txt;true
8a15ef26-2d5c-4382-8f4d-054c26e22ff1;../fake-data/blob/hipster.txt;true
84ab0a03-f324-4a27-8665-cb8a9dd16f19;../fake-data/blob/hipster.txt;true
121b511e-e28d-4024-b86c-79813d0bce89;../fake-data/blob/hipster.txt;true
08cb2b02-3515-485f-9e69-c73d9f5821e5;../fake-data/blob/hipster.txt;true
ad413f1e-27c0-471f-a7ea-81b6ef250c10;../fake-data/blob/hipster.txt;false
08e31bdd-68af-45a8-8051-124d9202f4ae;../fake-data/blob/hipster.txt;true
f6754a64-95ea-48db-8325-9afd5b97f5dc;../fake-data/blob/hipster.txt;true
