id;name;description;image;image_content_type;estimated_preparaing_time
83859343-61d3-4f25-bc6a-f9d9cc6d65a3;Baby toolset Chair;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;26632
da8d5bed-ed26-4775-ab41-191b3cead1a3;Kentucky;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;93891
fdafd744-6629-4ec9-af65-58eebb2e05b5;access;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;13215
535c674a-50c9-430d-8ab2-a996453babac;Sausages African exuding;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;10690
924b458a-c0ab-4893-be4f-16aea46ae757;generating Incredible Intelligent;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;95302
698f8bd7-562c-4bdd-94f5-d09f6e43126c;Steel;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;93484
6a20db8a-6590-47d9-baed-561f80f34eea;hacking back-end;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;31224
0c78fe03-8835-47fb-b4d0-98933a39a361;Accounts Strategist;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;96305
13efc0df-5485-4985-b6e4-bc0fb33fdb23;Intranet;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;81007
d8806975-ce8a-4a6e-9de1-ebf8e92d5691;Handcrafted;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;63329
