id;description;rating
75bbbeca-5faa-49a0-b384-ec78767c7f9c;../fake-data/blob/hipster.txt;29939
2e95a0d7-9606-469e-bb97-8d726b2279fe;../fake-data/blob/hipster.txt;54519
4a10ce26-d3a4-4f4b-9d19-7474374714e5;../fake-data/blob/hipster.txt;4902
f17a5ceb-0ade-407d-b262-79fbcad802d0;../fake-data/blob/hipster.txt;41714
9c8f9d45-274a-4a7e-9ace-d11270f4bf5e;../fake-data/blob/hipster.txt;41634
249f1d27-d2c1-41f4-a125-f75c430b8494;../fake-data/blob/hipster.txt;89198
23c0ffd3-abea-49d3-91d8-fda8981ce665;../fake-data/blob/hipster.txt;32249
de944037-01ff-46a8-ac49-0de4e6ca2263;../fake-data/blob/hipster.txt;13624
8a48a93e-41f8-4780-8cf3-a58cf3db954c;../fake-data/blob/hipster.txt;72890
c874d9f2-6f82-40fb-933f-2be81e6de2a9;../fake-data/blob/hipster.txt;52803
