id;description;enabled
c1bced96-010b-47d4-8985-a558366e9886;../fake-data/blob/hipster.txt;false
e3ea74d8-f125-4009-8cd3-060324bb29ee;../fake-data/blob/hipster.txt;true
3f7dbb13-8596-478b-8976-d30f99e26d2c;../fake-data/blob/hipster.txt;true
3820f1c3-acfd-41ed-b839-9b968053f01e;../fake-data/blob/hipster.txt;false
c3153afc-0468-4507-90cb-29c32a2fd7c0;../fake-data/blob/hipster.txt;true
5b22f041-b347-4def-9104-51c2a6e33e66;../fake-data/blob/hipster.txt;false
075c375b-7b9a-4573-a37f-e50b10e8bdca;../fake-data/blob/hipster.txt;false
59af1276-f4dd-4b62-b1b3-f0dc8dc9aff5;../fake-data/blob/hipster.txt;false
33578278-3a6b-4ef7-8b6b-6483aa36a51b;../fake-data/blob/hipster.txt;false
e168e8fc-4374-4994-a823-1df0eadf0eed;../fake-data/blob/hipster.txt;true
