id;description;enabled
858bd1fe-535f-4534-856e-5d2a350c163f;../fake-data/blob/hipster.txt;true
660fee7f-7390-46ec-834e-73c41d3287bd;../fake-data/blob/hipster.txt;true
0250dffb-17f5-4182-a056-ba76c381ba48;../fake-data/blob/hipster.txt;true
27f43e4e-6bf7-4356-ab7e-5f77918de0e0;../fake-data/blob/hipster.txt;false
8c2298c5-ff21-4f49-b3fa-9260f8edc1d2;../fake-data/blob/hipster.txt;true
cc1a91b4-bc9d-4d25-8f6c-089328a3d4b7;../fake-data/blob/hipster.txt;true
bf2c3880-77c2-47d2-94ee-e9b3c24c086b;../fake-data/blob/hipster.txt;true
6689cc7f-fe7d-47cf-b343-38e29b6dfc93;../fake-data/blob/hipster.txt;true
bc21c5ca-dbab-4b61-aee3-ef56d5da98a7;../fake-data/blob/hipster.txt;false
a579a1a7-ebe3-4a06-9eff-b2f2e8b5f5f7;../fake-data/blob/hipster.txt;false
