id;description;enabled
49fcd0b6-d4dd-4f73-9b24-2e6596fa5ed6;../fake-data/blob/hipster.txt;true
90b225b6-83fa-4b9c-a503-b8f5b17254b7;../fake-data/blob/hipster.txt;true
99e377b1-eb81-4e3c-8ac6-b7826fadca80;../fake-data/blob/hipster.txt;false
c53e59f4-b50b-41a4-8687-3b3807df10dc;../fake-data/blob/hipster.txt;false
5b2be31d-1773-45ad-826c-1c846cb470fa;../fake-data/blob/hipster.txt;false
092342a1-5e21-4b58-ab65-a016381a11df;../fake-data/blob/hipster.txt;true
445ffc4c-86d5-412b-aa71-78d9ebf6b14d;../fake-data/blob/hipster.txt;true
8e20d507-074c-45c4-8b29-696847a6a99b;../fake-data/blob/hipster.txt;true
684bfde8-7a62-40cc-a52c-0618905bada7;../fake-data/blob/hipster.txt;false
8d7625a9-b6e2-45ff-b181-0db29761b940;../fake-data/blob/hipster.txt;false
