id;description;enabled
840084a0-7bd8-4b90-9dc1-2e9767610bbe;../fake-data/blob/hipster.txt;false
282eaa21-a90f-48f0-a6e8-fc774ec2490d;../fake-data/blob/hipster.txt;false
f536f60e-e81b-44e4-ae94-9fd5c92049ad;../fake-data/blob/hipster.txt;true
e0af495a-261f-4d2f-92fa-e9ba2736b919;../fake-data/blob/hipster.txt;true
56278666-9d62-4455-bed3-d5dcc28ca60a;../fake-data/blob/hipster.txt;false
b054273c-4998-41b2-a673-c99d07002a6d;../fake-data/blob/hipster.txt;false
7955ff5a-e0d6-4b95-b9d4-9b112ec2db7d;../fake-data/blob/hipster.txt;true
d6b32469-e72b-4601-9b28-f30bf8cae267;../fake-data/blob/hipster.txt;true
8e332914-7385-459b-bc6f-aba5456828de;../fake-data/blob/hipster.txt;true
38c82dfa-3ae1-48cf-848c-65aadf1e289d;../fake-data/blob/hipster.txt;true
