id;description;enabled
df470e1e-68ba-4dd9-9358-3d009c62b1d3;../fake-data/blob/hipster.txt;false
734b888d-296e-4eb0-9772-875d39db8141;../fake-data/blob/hipster.txt;false
bf4823be-7317-4cb7-baf9-152439cc2b79;../fake-data/blob/hipster.txt;true
f7c8239f-9a43-4ecc-b8a5-0b70a6d23329;../fake-data/blob/hipster.txt;false
73c06d9b-0318-4161-ba2e-5821c4684b14;../fake-data/blob/hipster.txt;false
a1874155-57a0-4547-98b4-af7311e43b8d;../fake-data/blob/hipster.txt;true
9987bdcd-e6f7-4367-8cff-d24ca4a5fb3b;../fake-data/blob/hipster.txt;false
f751bba9-4ea2-401b-a8df-f998f0d46ee4;../fake-data/blob/hipster.txt;false
55d46ddd-cd8b-4fa0-b13b-1c7c5c31ec1b;../fake-data/blob/hipster.txt;true
34199f2e-a71d-467d-a143-8b71f2dbf452;../fake-data/blob/hipster.txt;true
